Company,Location,Sector,Funding,Stage,Date,Lead Investor,Other Investors,Founder(s),LinkedIn,Headcount,Hiring Signals,Tech Stack,Notes
Olix,London,AI Chips/Photonics,$220m,Series A,Feb 2026,Hummingbird Ventures,"Plural, LocalGlobe, Entrepreneurs First",James Dacombe (25 yo),linkedin.com/in/jamesdacombe,70â†’200,ðŸ”¥ Aggressive hiring - London/Bristol/Austin/SF/Toronto,Photonic OTPU chips replacing HBM,$1B+ valuation; shipping products 2027
Stanhope AI,London,AI/Robotics,Â£6m,Seed,Feb 2026,Frontline Ventures,"Paladin Capital, Auxxo, UCL Tech Fund, MMC Ventures","Prof. Rosalyn Moran (CEO), Prof. Karl Friston (Scientific Adviser)",linkedin.com/in/prof-rosalyn-moran,~20,Growing engineering team,Active Inference/Free Energy Principle,UCL/King's spinout; defence + robotics focus
Optalysys,Leeds/Bristol,Photonic Computing,â‚¬26.4m,Series A Ext,Jan 2026,Northern Gritstone,"imec.xpand, Lingotto Horizon, NSSIF","Dr Nick New (CEO), Robert Todd (CTO)",linkedin.com/company/optalysys,50â†’85,ðŸ”¥ Hiring 35 staff; US expansion,Silicon photonics + FHE,Opening SF office; LightLocker product live
Elyos AI,London,AI Agents/Field Services,â‚¬11.1m,Series A,Jan 2026,Blackbird Ventures,"Y Combinator, Pi Labs","Adrian Johnston, Philippa Brown, Panos Stravopodis",linkedin.com/company/elyos-ai,~30,Engineering + GTM expansion,Voice AI/LLM agents for trades,YC-backed; rapid customer adoption; intl expansion 2026
Electric Twin,London,AI/Market Research,Â£10m,Seed,Feb 2026,Atomico,"LocalGlobe, Mercuri, Samos","Dr Ben Warner, Alex Cooper",,~25,Scaling team,Synthetic audiences/ML research,Ex-No.10 COVID team; angels: Marc Andreessen/Cal Henderson
Sable Bio,London,AI/Drug Safety,â‚¬3.2m,Seed,Feb 2026,MMC Ventures,"Episode 1, Seedcamp","Dr Josh Almond-Thynne (CEO), Dr Alex de Giorgio",linkedin.com/company/sablebio,~15,Expanding London team,AI/NLP for drug safety,Ex-BenevolentAI; â‚¬400k revenue; 3 top-10 pharma customers
Mozart AI,London,Generative Music,$6m,Seed,Feb 2026,Balderton Capital,"Mercuri, EWOR, Kevin Hartz","Sundar Arvind, Arjun Khanna, Pascual Merita Torres",linkedin.com/company/mozart-ai,~15,Hiring before public launch,Audio generation/MIDI AI,100k+ artists; 1m+ songs created in beta
Nuclera,Cambridge,Health Tech/Biotech,Â£8.9m,Series C Ext,Jan 2026,Elevage Medical,"Jonathan Milner, BBB, GK Goh",N/A (est 2013),,50+,Mature hiring,Protein screening/multiplex,Established player; extension round
Cyb3r Operations,London,Cybersecurity,Â£4m,Seed,Jan 2026,Octopus Ventures,,N/A (est 2021),,~15,Growing,AI-powered risk management,Replacing fragmented GRC tools
Ionech,Oxford,CleanTech,Â£2m,Seed/Grant,Jan 2026,Elbow Beach,Innovate UK,N/A (est 2016),,~10,Small team,Clean energy from ambient air,Deep tech; grant-backed
WealthAi,London,FinTech/WealthTech,â‚¬837k,Pre-Seed,Jan 2026,N/A,,N/A,,<10,Early stage,AI-native OS for wealth managers,First mover in AI wealth ops
